,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,DeltaBravo33,✈ Dorian BENTEJAC ✈,2876058471,696482801756012544,/DeltaBravo33/status/696482801756012544,2016-02-07 23:56:54,1454889414,0,1,2,0,,,,Instagram : by ocflyer737 - Oh how I miss seeing this @united tulip livery.  #crj700 #united #unitedairlines #avge…pic.twitter.com/jBjUGwmMMS,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Instagram : by ocflyer737 - Oh how I miss seeing this <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""260907612"" dir=""ltr"" href=""/united""><s>@</s><b>united</b></a> tulip livery. <img alt=""😕"" aria-label=""Emoji: Confused face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f615.png"" title=""Confused face""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/crj700?src=hash""><s>#</s><b>crj700</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/united?src=hash""><s>#</s><b>united</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/avge?src=hash""><s>#</s><b>avge</b></a>…<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/jBjUGwmMMS"">pic.twitter.com/jBjUGwmMMS</a></p>"
1,mxthemme,Adryan Corcione ♏️ ♏️,1403871902,696476638444322817,/mxthemme/status/696476638444322817,2016-02-07 23:32:25,1454887945,0,0,0,0,,,,#unitedairlines #flight #airplane # #instasky #sky https://www.instagram.com/p/BBgOxCSrE9j/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flight?src=hash""><s>#</s><b>flight</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/airplane?src=hash""><s>#</s><b>airplane</b></a> #<img alt=""✈️"" aria-label=""Emoji: Airplane"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2708.png"" title=""Airplane""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/instasky?src=hash""><s>#</s><b>instasky</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sky?src=hash""><s>#</s><b>sky</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BBgOxCSrE9j/"" dir=""ltr"" href=""https://t.co/z7vFilMrDG"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BBgOxCSrE9j/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BBgOxCSrE9j/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
2,InstaSingapore,Insta Singapore,2788989366,696467392633946112,/InstaSingapore/status/696467392633946112,2016-02-07 22:55:40,1454885740,0,0,0,0,,,,#Singapore #Changi Instagram by @cynnie_w4nderz - Goodebye Singapore. Hello cold cold! #unitedairlines #crrcsnowtri…pic.twitter.com/ktreQWD87P,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Singapore?src=hash""><s>#</s><b>Singapore</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Changi?src=hash""><s>#</s><b>Changi</b></a> Instagram by @cynnie_w4nderz - Goodebye Singapore. Hello cold cold! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/crrcsnowtri?src=hash""><s>#</s><b>crrcsnowtri</b></a>…<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ktreQWD87P"">pic.twitter.com/ktreQWD87P</a></p>"
3,TarikFFM,Tarık,497066585,696457708661272577,/TarikFFM/status/696457708661272577,2016-02-07 22:17:11,1454883431,0,0,0,0,,,,"Hahahaha
#THY #unitedairlines pic.twitter.com/TxgrZUCFHp","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hahahaha
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/THY?src=hash""><s>#</s><b>THY</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/TxgrZUCFHp"">pic.twitter.com/TxgrZUCFHp</a></p>"
4,sophiebyjinee,Jennifer Lee,4437910934,696445510580703235,/sophiebyjinee/status/696445510580703235,2016-02-07 21:28:43,1454880523,0,0,0,0,,,,@shespeaksup @HuffPostParents finally @UnitedAirlines,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""44150176"" dir=""ltr"" href=""/shespeaksup""><s>@</s><b>shespeaksup</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16581734"" dir=""ltr"" href=""/HuffPostParents""><s>@</s><b>HuffPostParents</b></a> finally <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25166595"" dir=""ltr"" href=""/UnitedAirlines""><s>@</s><b><strong>UnitedAirlines</strong></b></a></p>"
5,sm176811,John I C Gomes,101364199,696431598414229504,/sm176811/status/696431598414229504,2016-02-07 20:33:26,1454877206,0,0,1,0,,,,Over Greenland; UA59 from FRA to SFO...#managementconsulting #unitedairlines #travel #gree… http://ift.tt/1W3ogfV pic.twitter.com/i7RzB64BrC,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""no"">Over Greenland; UA59 from FRA to SFO...<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/managementconsulting?src=hash""><s>#</s><b>managementconsulting</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/travel?src=hash""><s>#</s><b>travel</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gree?src=hash""><s>#</s><b>gree</b></a>… <a class=""twitter-timeline-link"" data-expanded-url=""http://ift.tt/1W3ogfV"" dir=""ltr"" href=""https://t.co/hK8FpD7l46"" rel=""nofollow noopener"" target=""_blank"" title=""http://ift.tt/1W3ogfV""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ift.tt/1W3ogfV</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/i7RzB64BrC"">pic.twitter.com/i7RzB64BrC</a></p>"
6,TimJDolan,Tim J Dolan,112212261,696426690185183237,/TimJDolan/status/696426690185183237,2016-02-07 20:13:56,1454876036,0,0,1,0,,,,"Airlines Reap Record Profits; Passengers Get Peanuts http://nyti.ms/23QjQyH 
Gee, Thanks United & American #AmericanAirlines #UnitedAirlines","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Airlines Reap Record Profits; Passengers Get Peanuts <a class=""twitter-timeline-link"" data-expanded-url=""http://nyti.ms/23QjQyH"" dir=""ltr"" href=""https://t.co/wMPpuKltr0"" rel=""nofollow noopener"" target=""_blank"" title=""http://nyti.ms/23QjQyH""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">nyti.ms/23QjQyH</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
Gee, Thanks United &amp; American <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmericanAirlines?src=hash""><s>#</s><b>AmericanAirlines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UnitedAirlines?src=hash""><s>#</s><b><strong>UnitedAirlines</strong></b></a></p>"
7,FocusOnFun,Focus On Fun Travel,227125326,696416573788196865,/FocusOnFun/status/696416573788196865,2016-02-07 19:33:44,1454873624,0,0,0,0,,,,"Once we got in the air, I have to say I love the free entertainment menu on the #unitedairlines app. Just watched inside out","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Once we got in the air, I have to say I love the free entertainment menu on the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> app. Just watched inside out</p>"
8,stuart_oliver,stuart_oliver,18459229,696413781950230528,/stuart_oliver/status/696413781950230528,2016-02-07 19:22:39,1454872959,0,0,1,0,,,,Just found out they are broadcasting the Super Bowl for free on my flight to London. #unitedairlines #GoBroncos,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Just found out they are broadcasting the Super Bowl for free on my flight to London. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GoBroncos?src=hash""><s>#</s><b>GoBroncos</b></a></p>"
9,harlemfinearts,Harlem Fine Arts Show,153411531,696412913561694209,/harlemfinearts/status/696412913561694209,2016-02-07 19:19:11,1454872751,0,1,0,0,,,,@tellisart Your work is amazing! And thanks @United for supporting artists like Ted! #UnitedAirlines #HFASNYCpic.twitter.com/HJkhdwAxj2,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""21690549"" dir=""ltr"" href=""/tellisart""><s>@</s><b>tellisart</b></a> Your work is amazing! And thanks <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""260907612"" dir=""ltr"" href=""/united""><s>@</s><b>United</b></a> for supporting artists like Ted! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UnitedAirlines?src=hash""><s>#</s><b><strong>UnitedAirlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HFASNYC?src=hash""><s>#</s><b>HFASNYC</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/HJkhdwAxj2"">pic.twitter.com/HJkhdwAxj2</a></p>"
