,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,Ashley_Hobbs24,Ashley Hobbs,168356638,837813982325051394,/Ashley_Hobbs24/status/837813982325051394,2017-03-03 23:56:33,1488585393,0,0,0,0,,,,I graduate with my Masters in August. I wanna treat myself to a vacation. Via @JetBlue of course. But where should hubby and I go?! ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I graduate with my Masters in August. I wanna treat myself to a vacation. Via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> of course. But where should hubby and I go?! <img alt=""🤔"" aria-label=""Emoji: Thinking face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f914.png"" title=""Thinking face""/><img alt=""🤔"" aria-label=""Emoji: Thinking face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f914.png"" title=""Thinking face""/><img alt=""🤔"" aria-label=""Emoji: Thinking face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f914.png"" title=""Thinking face""/></p>"
1,Ashley_Hobbs24,Ashley Hobbs,168356638,837813723393843201,/Ashley_Hobbs24/status/837813723393843201,2017-03-03 23:55:32,1488585332,1,0,0,0,,,,maybe it's just me.... But I wanted to just inform justtttt in case ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">maybe it's just me.... But I wanted to just inform justtttt in case <img alt=""☺️"" aria-label=""Emoji: Smiling face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/263a.png"" title=""Smiling face""/></p>"
2,shawncollins,Shawn Collins,656713,837813215350439937,/shawncollins/status/837813215350439937,2017-03-03 23:53:31,1488585211,0,0,0,0,,,,"Steve Hall on JetBlue, Friday Night Lights, and Cape Cod http://affiliatetip.com/steve-hall-jetblue-friday-night-lights-cape-cod/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Steve Hall on <strong>JetBlue</strong>, Friday Night Lights, and Cape Cod <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://affiliatetip.com/steve-hall-jetblue-friday-night-lights-cape-cod/?utm_source=ReviveOldPost&amp;utm_medium=social&amp;utm_campaign=ReviveOldPost"" dir=""ltr"" href=""https://t.co/LQCn5lDsDL"" rel=""nofollow noopener"" target=""_blank"" title=""http://affiliatetip.com/steve-hall-jetblue-friday-night-lights-cape-cod/?utm_source=ReviveOldPost&amp;utm_medium=social&amp;utm_campaign=ReviveOldPost""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">affiliatetip.com/steve-hall-jet</span><span class=""invisible"">blue-friday-night-lights-cape-cod/?utm_source=ReviveOldPost&amp;utm_medium=social&amp;utm_campaign=ReviveOldPost</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
3,JaquelineDrnt,Jaqueline Dorantes,4146593787,837812954238238720,/JaquelineDrnt/status/837812954238238720,2017-03-03 23:52:28,1488585148,0,0,0,0,,,,"Alaska Airlines, Jetblue y Southwest ganarían slots de Aeroméxico y Delta","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Alaska Airlines, <strong>Jetblue</strong> y Southwest ganarían slots de Aeroméxico y Delta</p>"
4,spaoc,spaoc,261944010,837812874546458624,/spaoc/status/837812874546458624,2017-03-03 23:52:09,1488585129,0,0,0,0,,,,"Alaska Airlines, Jetblue y Southwest ganarían slots de Aeroméxico y Delta http://ift.tt/2mkZO0Z pic.twitter.com/sIz2c7mXjR","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Alaska Airlines, <strong>Jetblue</strong> y Southwest ganarían slots de Aeroméxico y Delta <a class=""twitter-timeline-link"" data-expanded-url=""http://ift.tt/2mkZO0Z"" dir=""ltr"" href=""https://t.co/gVm1tPmeyg"" rel=""nofollow noopener"" target=""_blank"" title=""http://ift.tt/2mkZO0Z""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ift.tt/2mkZO0Z</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/sIz2c7mXjR"">pic.twitter.com/sIz2c7mXjR</a></p>"
5,JetBlue,JetBlue Airways,6449282,837812827851272193,/JetBlue/status/837812827851272193,2017-03-03 23:51:58,1488585118,1,0,0,0,,,,We'll pass this along to our IT team so they can look into it. Thanks for the heads up.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We'll pass this along to our IT team so they can look into it. Thanks for the heads up.</p>"
6,brndout35,Tom Bradley,329765045,837812759979048960,/brndout35/status/837812759979048960,2017-03-03 23:51:42,1488585102,0,0,0,0,,,,I just checked in at Jet Blue Airways with #mPLUSPlaces Download today!  http://bit.ly/gomplaces ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I just checked in at <strong>Jet Blue</strong> Airways with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mPLUSPlaces?src=hash""><s>#</s><b>mPLUSPlaces</b></a> Download today!  <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/gomplaces"" dir=""ltr"" href=""https://t.co/A9qX1nhaUF"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/gomplaces""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/gomplaces</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
7,elojocibernetic,El Ojo Cibernetico,706907304206045184,837812649530372096,/elojocibernetic/status/837812649530372096,2017-03-03 23:51:16,1488585076,0,0,0,0,,,,"Alaska Airlines, Jetblue y Southwest ganarían slots de Aeroméxico y Delta http://www.elojocibernetico.com.mx/el-financiero/alaska-airlines-jetblue-y-southwest-ganarian-slots-de-aeromexico-y-delta/ …pic.twitter.com/1DIssTOxSm","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Alaska Airlines, <strong>Jetblue</strong> y Southwest ganarían slots de Aeroméxico y Delta <a class=""twitter-timeline-link"" data-expanded-url=""http://www.elojocibernetico.com.mx/el-financiero/alaska-airlines-jetblue-y-southwest-ganarian-slots-de-aeromexico-y-delta/"" dir=""ltr"" href=""https://t.co/ZtBiexhz4F"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.elojocibernetico.com.mx/el-financiero/alaska-airlines-jetblue-y-southwest-ganarian-slots-de-aeromexico-y-delta/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">elojocibernetico.com.mx/el-financiero/</span><span class=""invisible"">alaska-airlines-jetblue-y-southwest-ganarian-slots-de-aeromexico-y-delta/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/1DIssTOxSm"">pic.twitter.com/1DIssTOxSm</a></p>"
8,AbbyParra_,Abby Parra,754669135368302592,837812614206009344,/AbbyParra_/status/837812614206009344,2017-03-03 23:51:07,1488585067,0,0,0,0,,,,"Alaska Airlines, Jetblue y Southwest ganarían slots de Aeroméxico y Delta http://ift.tt/2mkZO0Z ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Alaska Airlines, <strong>Jetblue</strong> y Southwest ganarían slots de Aeroméxico y Delta <a class=""twitter-timeline-link"" data-expanded-url=""http://ift.tt/2mkZO0Z"" dir=""ltr"" href=""https://t.co/GMykAe4qXP"" rel=""nofollow noopener"" target=""_blank"" title=""http://ift.tt/2mkZO0Z""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ift.tt/2mkZO0Z</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
9,miimows,del likes (spooky) cats 🖤,28067595,837812299024912384,/miimows/status/837812299024912384,2017-03-03 23:49:52,1488584992,2,0,0,0,,,,"oh yea totally. but i'm so spoiled by jet blue, when i'm flying anything else i'm like but why","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">oh yea totally. but i'm so spoiled by <strong>jet blue</strong>, when i'm flying anything else i'm like but why</p>"
