,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,breadboytae,taehyungie 🥺,752255016782606336,936746523739770880,/breadboytae/status/936746523739770880,2017-12-01 23:59:09,1512172749,0,0,0,0,,,,my couch,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">my couch</p>"
1,patrichards,Pat Richards,14004632,936746441103560704,/patrichards/status/936746441103560704,2017-12-01 23:58:50,1512172730,1,0,0,0,,,,Yet another late delta filght is this really the best we can do @Delta,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Yet another late <strong>delta</strong> filght is this really the best we can do <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""5920532"" dir=""ltr"" href=""/Delta""><s>@</s><b><strong>Delta</strong></b></a></p>"
2,Farouz15,Farouz Jr,374828498,936746430508748800,/Farouz15/status/936746430508748800,2017-12-01 23:58:47,1512172727,0,0,0,0,,,,"حد يعرف حد شغال ف شركه Delta Soft 
شغال php laravel ف المنصوره ؟","<p class=""TweetTextSize js-tweet-text tweet-text tweet-text-rtl"" data-aria-label-part=""0"" lang=""ar"">حد يعرف حد شغال ف شركه <strong>Delta</strong> Soft 
شغال php laravel ف المنصوره ؟</p>"
3,TrafficVancity,Trafficnet Vancouver,76718450,936746312984391680,/TrafficVancity/status/936746312984391680,2017-12-01 23:58:19,1512172699,0,0,0,0,,,,Delta - northbound Hwy-99 between 64 St (Delta Works Yard) and Massey Tunnel slow traffic,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Delta</strong> - northbound Hwy-99 between 64 St (<strong>Delta</strong> Works Yard) and Massey Tunnel slow traffic</p>"
4,wallerswallet,Dustin,2893483575,936746297104662528,/wallerswallet/status/936746297104662528,2017-12-01 23:58:15,1512172695,0,0,1,0,,,,"Dinner tonight. Earning 10% thru Dosh, 2.5% CB, and 3x Delta miles. Love stacking offers ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dinner tonight. Earning 10% thru Dosh, 2.5% CB, and 3x <strong>Delta</strong> miles. Love stacking offers <img alt=""😎"" aria-label=""Emoji: Smiling face with sunglasses"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60e.png"" title=""Smiling face with sunglasses""/></p>"
5,8f_nca,ほわ✈,2814023443,936746294739025920,/8f_nca/status/936746294739025920,2017-12-01 23:58:15,1512172695,1,0,0,0,,,,出 発,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">出 発<img alt=""🚗"" aria-label=""Emoji: Automobile"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f697.png"" title=""Automobile""/><img alt=""💨"" aria-label=""Emoji: Dash symbol"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4a8.png"" title=""Dash symbol""/></p>"
6,heathenswan,H 🏳️‍🌈,4426271,936746265429315584,/heathenswan/status/936746265429315584,2017-12-01 23:58:08,1512172688,1,0,0,0,,,,@Delta I can't upgrade my flight even though there are available seats in select comfort. Help? (Plz don't make me call the 800 number lol),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""5920532"" dir=""ltr"" href=""/Delta""><s>@</s><b><strong>Delta</strong></b></a> I can't upgrade my flight even though there are available seats in select comfort. Help? (Plz don't make me call the 800 number lol)</p>"
7,emergentpattern,Charles Sullivan II,16056554,936746263424401408,/emergentpattern/status/936746263424401408,2017-12-01 23:58:07,1512172687,0,0,0,0,,,,Drinking a Harvest Ale by @BellsBrewery @ Delta Brewing Supply — http://untp.beer/s/c533409067  #photo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Drinking a Harvest Ale by <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""60983046"" dir=""ltr"" href=""/BellsBrewery""><s>@</s><b>BellsBrewery</b></a> @ <strong>Delta</strong> Brewing Supply — <a class=""twitter-timeline-link"" data-expanded-url=""http://untp.beer/s/c533409067"" dir=""ltr"" href=""https://t.co/srqh0KKECV"" rel=""nofollow noopener"" target=""_blank"" title=""http://untp.beer/s/c533409067""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">untp.beer/s/c533409067</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/photo?src=hash""><s>#</s><b>photo</b></a></p>"
8,KarlsJohansson,Karl Johansson,3021329935,936746155198758912,/KarlsJohansson/status/936746155198758912,2017-12-01 23:57:41,1512172661,0,0,0,0,,,,Go Dawgs,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Go Dawgs</p>"
9,BretFeig,Bret Feig,16450191,936746110923804672,/BretFeig/status/936746110923804672,2017-12-01 23:57:31,1512172651,0,0,0,0,,,,"People: The Delta Companies, MW Partners, ALKU, Staffing 360, Uber http://dlvr.it/Q3v6pW  #deandacosta #LI","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">People: The <strong>Delta</strong> Companies, MW Partners, ALKU, Staffing 360, Uber <a class=""twitter-timeline-link"" data-expanded-url=""http://dlvr.it/Q3v6pW"" dir=""ltr"" href=""https://t.co/BFVmvKwLHX"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/Q3v6pW""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/Q3v6pW</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/deandacosta?src=hash""><s>#</s><b>deandacosta</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LI?src=hash""><s>#</s><b>LI</b></a></p>"
10,Countryrage,CountryRage,3178113010,936746078837362688,/Countryrage/status/936746078837362688,2017-12-01 23:57:23,1512172643,0,0,3,0,,,,Now Playing Delta Rae - I Moved South Country Rage Radio,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Now Playing <strong>Delta</strong> Rae - I Moved South Country Rage Radio</p>"
11,Coimbra_Bertone,Ioná Albuquerque,883048088486785024,936746039528353792,/Coimbra_Bertone/status/936746039528353792,2017-12-01 23:57:14,1512172634,0,0,1,0,,,,does this mean you don't like the delta wings? :P,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">does this mean you don't like the <strong>delta</strong> wings? :P</p>"
12,izuki_61,唯月,381876158,936746009153101824,/izuki_61/status/936746009153101824,2017-12-01 23:57:07,1512172627,0,0,0,0,,,,おはありー,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">おはありー</p>"
13,hatesq,Taiane Lauteres,117899305,936745784543989765,/hatesq/status/936745784543989765,2017-12-01 23:56:13,1512172573,0,0,0,0,,,,"I'm at Delta Fraternity Bar in Brasília, Distrito Federal https://www.swarmapp.com/c/kJoMF925V6F ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">I'm at <strong>Delta</strong> Fraternity Bar in Brasília, Distrito Federal <a class=""twitter-timeline-link"" data-expanded-url=""https://www.swarmapp.com/c/kJoMF925V6F"" dir=""ltr"" href=""https://t.co/WFJxMofVBr"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/kJoMF925V6F""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/kJoMF925V6F</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
14,VanCityWebJobs,Van City Web Jobs,2290683198,936745773122846720,/VanCityWebJobs/status/936745773122846720,2017-12-01 23:56:10,1512172570,0,0,0,0,,,,"Accounting Coordinator & Customer Support - Santevia Water Systems Inc. - Delta, BC - http://ift.tt/2iAMYfZ ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Accounting Coordinator &amp; Customer Support - Santevia Water Systems Inc. - <strong>Delta</strong>, BC - <a class=""twitter-timeline-link"" data-expanded-url=""http://ift.tt/2iAMYfZ"" dir=""ltr"" href=""https://t.co/nhLSqAbBFq"" rel=""nofollow noopener"" target=""_blank"" title=""http://ift.tt/2iAMYfZ""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ift.tt/2iAMYfZ</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
15,kcjoop,K.C. Rodenburg,25044660,936745626586447872,/kcjoop/status/936745626586447872,2017-12-01 23:55:35,1512172535,1,0,0,0,,,,If I would have known all this I would have went home tonight instead of trying to go to Fort Myers! This is ridiculous!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">If I would have known all this I would have went home tonight instead of trying to go to Fort Myers! This is ridiculous!</p>"
16,laceyyStamp,Lacey Stamp,636291967,936745589169098752,/laceyyStamp/status/936745589169098752,2017-12-01 23:55:27,1512172527,1,0,0,0,,,,Go play santa at the gas islands and then tell me you like Christmas Szn at delta ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Go play santa at the gas islands and then tell me you like Christmas Szn at <strong>delta</strong> <img alt=""🤗"" aria-label=""Emoji: Hugging face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f917.png"" title=""Hugging face""/></p>"
17,jackiedeburca,Jackie De Burca,23792669,936745503735406592,/jackiedeburca/status/936745503735406592,2017-12-01 23:55:06,1512172506,0,0,1,0,,,,Catalonia unspoilt beaches and birdwatching in the Delta de l'Ebre Natural Park http://bit.ly/1slFZVk pic.twitter.com/Kr1kfwQXLS,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Catalonia unspoilt beaches and birdwatching in the <strong>Delta</strong> de l'Ebre Natural Park <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1slFZVk"" dir=""ltr"" href=""https://t.co/lwXa1Zlc6N"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1slFZVk""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1slFZVk</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Kr1kfwQXLS"">pic.twitter.com/Kr1kfwQXLS</a></p>"
18,kcjoop,K.C. Rodenburg,25044660,936745488250036224,/kcjoop/status/936745488250036224,2017-12-01 23:55:02,1512172502,1,0,0,0,,,,@Delta so I’m now not gonna make it to Florida tonight and I have a 6:30 am tomorrow leaving Florida for Omaha! Not only am I not getting where I’m supposed to but now I’ll be short to make Diamond!!! I need someone to help me. All from mechanical issues as well,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""5920532"" dir=""ltr"" href=""/Delta""><s>@</s><b><strong>Delta</strong></b></a> so I’m now not gonna make it to Florida tonight and I have a 6:30 am tomorrow leaving Florida for Omaha! Not only am I not getting where I’m supposed to but now I’ll be short to make Diamond!!! I need someone to help me. All from mechanical issues as well</p>"
19,piercelab,Joshua Pierce,765667315,936745482151518208,/piercelab/status/936745482151518208,2017-12-01 23:55:01,1512172501,2,1,2,0,,,,My son got gifted this today - it may catch on fire in this @Delta household!  I must find a replacement! pic.twitter.com/Qr1ljlx2Md,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My son got gifted this today - it may catch on fire in this <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""5920532"" dir=""ltr"" href=""/Delta""><s>@</s><b><strong>Delta</strong></b></a> household! <img alt=""😬"" aria-label=""Emoji: Grimacing face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62c.png"" title=""Grimacing face""/> I must find a replacement! <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Qr1ljlx2Md"">pic.twitter.com/Qr1ljlx2Md</a></p>"
