,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,CatzforMe,Lois,148932161,763525298151358465,/CatzforMe/status/763525298151358465,2016-08-10 23:59:51,1470873591,0,0,1,0,,,,That Delta thing was crazy! Glad you made it back ok,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">That <strong>Delta</strong> thing was crazy! Glad you made it back ok</p>"
1,lisanvalentine,Lisa Valentine,2806478278,763525239598747649,/lisanvalentine/status/763525239598747649,2016-08-10 23:59:37,1470873577,0,0,1,0,,,,Traveling for almost 24 hours straight due to @Delta delaying my flight. No compensation offered! So disappointed in this customer service!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Traveling for almost 24 hours straight due to <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""5920532"" dir=""ltr"" href=""/Delta""><s>@</s><b><strong>Delta</strong></b></a> delaying my flight. No compensation offered! So disappointed in this customer service!</p>"
2,lol_extremo,LOL AO EXTREMO,4925780703,763525199283253248,/lol_extremo/status/763525199283253248,2016-08-10 23:59:27,1470873567,0,0,0,0,,,,Gostei de um vídeo @YouTube de @marcelobeni http://youtu.be/McEjAD7YsTI?a  ENERGIA DA LIGAÇÃO - CALCULANDO O DELTA H,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Gostei de um vídeo <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10228272"" dir=""ltr"" href=""/YouTube""><s>@</s><b>YouTube</b></a> de <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""168904770"" dir=""ltr"" href=""/marcelobeni""><s>@</s><b>marcelobeni</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://youtu.be/McEjAD7YsTI?a"" dir=""ltr"" href=""https://t.co/VvSXi5gjdD"" rel=""nofollow noopener"" target=""_blank"" title=""http://youtu.be/McEjAD7YsTI?a""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">youtu.be/McEjAD7YsTI?a</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> ENERGIA DA LIGAÇÃO - CALCULANDO O <strong>DELTA</strong> H</p>"
3,TrendingFB,Trending,794274900,763525187522424832,/TrendingFB/status/763525187522424832,2016-08-10 23:59:24,1470873564,0,0,0,0,,,,"@Delta AF514 July22 CDG to ABV @AirFranceFR @AirFranceUS no credit.No food, noH2O, stranded in Paris &PHc for hours.No apology. Refund TCkt","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""5920532"" dir=""ltr"" href=""/Delta""><s>@</s><b><strong>Delta</strong></b></a> AF514 July22 CDG to ABV <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""40205617"" dir=""ltr"" href=""/AirFranceFR""><s>@</s><b>AirFranceFR</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""30899115"" dir=""ltr"" href=""/AirFranceUS""><s>@</s><b>AirFranceUS</b></a> no credit.No food, noH2O, stranded in Paris &amp;PHc for hours.No apology. Refund TCkt</p>"
4,aviacion_al_dia,Aviación al Día,334109095,763525102059163648,/aviacion_al_dia/status/763525102059163648,2016-08-10 23:59:04,1470873544,0,3,1,0,,,,Delta Air lines espera 90 cancelaciones de vuelos para este miércoles. http://goo.gl/Brycse ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Delta Air</strong> lines espera 90 cancelaciones de vuelos para este miércoles. <a class=""twitter-timeline-link"" data-expanded-url=""http://goo.gl/Brycse"" dir=""ltr"" href=""https://t.co/k7XxD8XXlc"" rel=""nofollow noopener"" target=""_blank"" title=""http://goo.gl/Brycse""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">goo.gl/Brycse</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
5,civilgrits,Nejolla,950970978,763525074003513344,/civilgrits/status/763525074003513344,2016-08-10 23:58:57,1470873537,0,0,1,0,,,,#Delta could have made things better while #DeltaDown. #Socialmedia not used effectively @DeltaNewsHub https://korrispondent.wordpress.com/2016/08/10/delta-airlines-fails-to-use-social-media-to-help-passengers/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Delta?src=hash""><s>#</s><b><strong>Delta</strong></b></a> could have made things better while <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DeltaDown?src=hash""><s>#</s><b>DeltaDown</b></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Socialmedia?src=hash""><s>#</s><b>Socialmedia</b></a> not used effectively <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""166607010"" dir=""ltr"" href=""/DeltaNewsHub""><s>@</s><b>DeltaNewsHub</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://korrispondent.wordpress.com/2016/08/10/delta-airlines-fails-to-use-social-media-to-help-passengers/"" dir=""ltr"" href=""https://t.co/QBAFvnhNt5"" rel=""nofollow noopener"" target=""_blank"" title=""https://korrispondent.wordpress.com/2016/08/10/delta-airlines-fails-to-use-social-media-to-help-passengers/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">korrispondent.wordpress.com/2016/08/10/del</span><span class=""invisible"">ta-airlines-fails-to-use-social-media-to-help-passengers/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
6,RealAbdulQadir,Future Industrialist,1262728608,763525011822870528,/RealAbdulQadir/status/763525011822870528,2016-08-10 23:58:43,1470873523,0,0,0,0,,,,"New Militant Group Blow Up Pipeline In Delta, Threaten More Attacks: A new Militant Group has made good on it... http://bit.ly/2b5cyky ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">New Militant Group Blow Up Pipeline In <strong>Delta</strong>, Threaten More Attacks: A new Militant Group has made good on it... <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2b5cyky"" dir=""ltr"" href=""https://t.co/wyKLZippHs"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2b5cyky""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2b5cyky</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
7,zekanota1010,ひま,3247607192,763524906822709248,/zekanota1010/status/763524906822709248,2016-08-10 23:58:18,1470873498,1,0,0,0,,,,デルタさん、おはようございます♪,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">デルタさん、おはようございます♪</p>"
8,GetSkinnyFaster,zara,211042330,763524868558114816,/GetSkinnyFaster/status/763524868558114816,2016-08-10 23:58:08,1470873488,0,0,0,0,,,,Delta Air Lines CEO Takes Responsibility for Outage – Wall Street Journal: ENLARGE The chief executive of Del... http://bit.ly/2aXgG5r ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Delta Air</strong> Lines CEO Takes Responsibility for Outage – Wall Street Journal: ENLARGE The chief executive of Del... <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2aXgG5r"" dir=""ltr"" href=""https://t.co/ASTvYMH8Xn"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2aXgG5r""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2aXgG5r</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
9,dtmfr,David Cancel,45099961,763524847146237952,/dtmfr/status/763524847146237952,2016-08-10 23:58:03,1470873483,1,0,0,0,,,,"actually, no. More time in Delta Club behind home plate. :)","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">actually, no. More time in <strong>Delta</strong> Club behind home plate. :)</p>"
